To request GPUs, add --gpus-per-node X or --gpus X, where X is the desired number of GPUs.
Job 107705 running on easley[017-018]
On-NUMA Ping-Pong:
Size 1: 3.869904e-07
Size 2: 3.791955e-07
Size 4: 3.791152e-07
Size 8: 3.806426e-07
Size 16: 3.979970e-07
Size 32: 4.948785e-07
Size 64: 5.083133e-07
Size 128: 7.632942e-07
Size 256: 8.441672e-07
Size 512: 1.061210e-06
Size 1024: 1.363532e-06
Size 2048: 1.788392e-06
Size 4096: 2.495555e-06
Size 8192: 3.744472e-06
Size 16384: 6.501887e-06
Size 32768: 1.066172e-05
Size 65536: 1.603809e-05
Size 131072: 2.587369e-05
Size 262144: 2.538997e-05
Size 524288: 4.749452e-05
Size 1048576: 1.112234e-04
Size 2097152: 3.665698e-04
Size 4194304: 7.269330e-04
Size 8388608: 1.445743e-03
Size 16777216: 2.887701e-03

On-Socket Ping-Pong:
Size 1: 4.222715e-07
Size 2: 4.193370e-07
Size 4: 4.199752e-07
Size 8: 4.224112e-07
Size 16: 4.207626e-07
Size 32: 5.125535e-07
Size 64: 5.147650e-07
Size 128: 8.056460e-07
Size 256: 8.640818e-07
Size 512: 1.062381e-06
Size 1024: 1.352682e-06
Size 2048: 1.796797e-06
Size 4096: 2.494367e-06
Size 8192: 3.872798e-06
Size 16384: 6.512466e-06
Size 32768: 1.069887e-05
Size 65536: 1.609380e-05
Size 131072: 2.615692e-05
Size 262144: 2.547454e-05
Size 524288: 4.764591e-05
Size 1048576: 1.116348e-04
Size 2097152: 3.702260e-04
Size 4194304: 7.330672e-04
Size 8388608: 1.462927e-03
Size 16777216: 2.919669e-03

On-Node, Off-Socket Ping-Pong:
Size 1: 4.208526e-07
Size 2: 4.205332e-07
Size 4: 4.199668e-07
Size 8: 4.214032e-07
Size 16: 4.228851e-07
Size 32: 5.082617e-07
Size 64: 5.133711e-07
Size 128: 7.971159e-07
Size 256: 8.661542e-07
Size 512: 1.067782e-06
Size 1024: 1.371490e-06
Size 2048: 1.781271e-06
Size 4096: 2.492099e-06
Size 8192: 3.742918e-06
Size 16384: 6.520003e-06
Size 32768: 1.066648e-05
Size 65536: 1.600585e-05
Size 131072: 2.597230e-05
Size 262144: 2.566758e-05
Size 524288: 4.795198e-05
Size 1048576: 1.125180e-04
Size 2097152: 3.708337e-04
Size 4194304: 7.351591e-04
Size 8388608: 1.465274e-03
Size 16777216: 2.921567e-03

Off-Node Ping-Pong:
Size 1: 3.049294e-06
Size 2: 2.911744e-06
Size 4: 2.911051e-06
Size 8: 2.910948e-06
Size 16: 2.905920e-06
Size 32: 2.929412e-06
Size 64: 2.957358e-06
Size 128: 3.019908e-06
Size 256: 3.573050e-06
Size 512: 3.710126e-06
Size 1024: 3.915169e-06
Size 2048: 5.428152e-06
Size 4096: 6.514512e-06
Size 8192: 8.470814e-06
Size 16384: 1.210196e-05
Size 32768: 1.671597e-05
Size 65536: 2.170371e-05
